country,year,indicator,value
Bahrain,2019,Internet users (% of population),95.9
Emirates,2019,Internet users (% of population),99.0
Kuwait,2019,Internet users (% of population),99.6
Oman,2019,Internet users (% of population),80.2
Qatar,2019,Internet users (% of population),99.7
Saudi Arabia,2019,Internet users (% of population),93.3
Bahrain,2020,Internet users (% of population),96.5
Emirates,2020,Internet users (% of population),99.1
Kuwait,2020,Internet users (% of population),99.7
Oman,2020,Internet users (% of population),85.5
Qatar,2020,Internet users (% of population),99.8
Saudi Arabia,2020,Internet users (% of population),95.7
Bahrain,2021,Internet users (% of population),97.0
Emirates,2021,Internet users (% of population),99.2
Kuwait,2021,Internet users (% of population),99.8
Oman,2021,Internet users (% of population),90.0
Qatar,2021,Internet users (% of population),99.9
Saudi Arabia,2021,Internet users (% of population),97.9
