country,year,indicator,value
Saudi Arabia,2010,Inbound Tourism from Middle East  (000) — Middle East,1938.6949999999997
Emirates,2010,Total expenditure by type expenditure   (US$ Mn),11818.0
Bahrain,2010,Total number of inbound visitors (000),0.0
Bahrain,2010,Number of tourists arriving according to groups of countries coming from them,0.0
Bahrain,2010,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2010,Personal   (000),0.0
Bahrain,2010,Total number of tourist by method of arrival   (000),0.0
Bahrain,2010,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2010,Total number of local visitors (000),0.0
Bahrain,2010,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2010,Personal   (000),0.0
Bahrain,2010,Total guests   (000),0.0
Bahrain,2010,Overnights   (Night),0.0
Bahrain,2010,Tourism Expenditure   (US$ Mn),0.0
Bahrain,2010,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2010,Total number of departing visitors (000),0.0
Bahrain,2010,"Number of departing tourists, according to their departing destinations (000)",0.0
Bahrain,2010,Total number of tourists by main Purpose of Trips   (000),0.0
Bahrain,2010,Total number of tourist by method of arrival   (000),0.0
Bahrain,2010,Total expenditure by type expenditure   (US$ Mn),0.0
Bahrain,2010,Expenditure by main purpose of the trip   (US$ Mn),0.0
Bahrain,2010,Total number of emloyees in all  accommodation   (000),0.0
Bahrain,2010,Total number of emloyees in all  accommodation   (000),0.0
Saudi Arabia,2010,Total number of inbound visitors (000),13024.616497608842
Saudi Arabia,2010,Total number of tourists   (000),10850.319881045363
Saudi Arabia,2010,Same-day Visitor   (000),2174.2966165634784
Saudi Arabia,2010,Number of tourists arriving according to groups of countries coming from them,10849.939999999999
Saudi Arabia,2010,Inbound Tourism from GCC (000) — Gulf Cooperation Council,6306.0
Saudi Arabia,2010,Inbound Tourism Africa  (000) — Africa,368.585
Saudi Arabia,2010,Inbound Tourism from Americas  (000) — America,53.613
Saudi Arabia,2010,Inbound Tourism from  Asia and the Pacific  (000) — Asia and Pacific,1815.808
Saudi Arabia,2010,Inbound Tourism from Europe  (000) — Aruba,367.239
Saudi Arabia,2010,Total number of tourists by main Purpose of Trips   (000),10850.0
Saudi Arabia,2010,Personal   (000),8190.0
Saudi Arabia,2010,"holidays, leisure and recreation   (000)",561.0
Saudi Arabia,2010,other personal purposes   (000),7629.0
Saudi Arabia,2010,Business and professional   (000),2660.0
Saudi Arabia,2010,Total number of tourist by method of arrival   (000),10850.319800601517
Saudi Arabia,2010,Air   (000),7006.431736965638
Saudi Arabia,2010,Land   (000),3615.6044761396824
Saudi Arabia,2010,Water   (000),228.28358749619625
Saudi Arabia,2010,Guests   (000),10850.000000000002
Saudi Arabia,2010,Guests in all types of accommodatio   (000),2566.5058943161707
Saudi Arabia,2010,Guests in hotels and similar establishments   (000),8283.49410568383
Saudi Arabia,2010,Total expenditure by type expenditure   (US$ Mn),6917.494398302182
Saudi Arabia,2010,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),6917.494398302182
Saudi Arabia,2010,Expenditure by type of tourist   (US$ Mn),6917.494398302182
Saudi Arabia,2010,Expenditure of tourist   (US$ Mn),6838.027731635516
Saudi Arabia,2010,Expenditure of same-day tourist   (US$ Mn),79.4666666666667
Saudi Arabia,2010,Expenditure by main purpose of the trip   (US$ Mn),6917.494398302182
Saudi Arabia,2010,Personal   (US$ Mn),5515.813592874653
Saudi Arabia,2010,Business and professional   (US$ Mn),1401.6808054275293
Saudi Arabia,2010,Total number of local visitors (000),23912.005
Saudi Arabia,2010,Total number of tourists   (000),22779.557
Saudi Arabia,2010,Same-day Visitor   (000),1132.448
Saudi Arabia,2010,Total number of tourists by main Purpose of Trips   (000),22780.0
Saudi Arabia,2010,Personal   (000),21546.0
Saudi Arabia,2010,"holidays, leisure and recreation   (000)",11108.0
Saudi Arabia,2010,other personal purposes   (000),10438.0
Saudi Arabia,2010,Business and professional   (000),1234.0
Saudi Arabia,2010,Total number of tourist by method of arrival   (000),22780.0
Saudi Arabia,2010,Overnights   (Night),116982.0464
Saudi Arabia,2010,Tourism Expenditure   (US$ Mn),8520.837695766002
Saudi Arabia,2010,Tourist Trips Expenditure   (US$ Mn),8352.997695766002
Saudi Arabia,2010,Same-day Trips Expenditure   (US$ Mn),167.84
Saudi Arabia,2010,Expenditure by main purpose of the trip   (US$ Mn),8520.837695766002
Saudi Arabia,2010,Personal   (US$ Mn),8068.736040474114
Saudi Arabia,2010,Business and professional   (US$ Mn),452.10165529188777
Saudi Arabia,2010,Total number of departing visitors (000),18624.604267
Saudi Arabia,2010,Total number of tourists   (000),17826.5057613882
Saudi Arabia,2010,Same-day Visitor   (000),798.0985056117985
Saudi Arabia,2010,Total number of tourists by main Purpose of Trips   (000),17827.0
Saudi Arabia,2010,Personal   (000),17182.0
Saudi Arabia,2010,"holidays, leisure and recreation   (000)",12131.0
Saudi Arabia,2010,other personal purposes   (000),5051.0
Saudi Arabia,2010,Business and professional   (000),645.0
Saudi Arabia,2010,Expenditure on tourism & non-tourism products inside the reference economy   (US$ Mn),14876.874045989814
Saudi Arabia,2010,Expenditure by type of tourist   (US$ Mn),14876.874045989813
Saudi Arabia,2010,Expenditure of tourist   (US$ Mn),14802.474045989813
Saudi Arabia,2010,Expenditure of same-day tourist   (US$ Mn),74.4
Saudi Arabia,2010,Expenditure by main purpose of the trip   (US$ Mn),14876.874045989813
Saudi Arabia,2010,Personal   (US$ Mn),14241.277455910495
Saudi Arabia,2010,Business and professional   (US$ Mn),635.5965900793183
Saudi Arabia,2010,Direct Contribution of Tourism to Employment   (%),0.04954027630507833
Saudi Arabia,2010,Inbound tourism expenditure over GDP   (%),1.42671256245149
Saudi Arabia,2010,Outbound tourism expenditure over GDP   (%),4.179419656141069
Saudi Arabia,2010,Tourism balance (inbound minus outbound tourism expenditure) over GDP   (%),-2.8000000000000003
Saudi Arabia,2010,"Tourism openness (inbound plus outbound tourism expenditure, over GDP)   (%)",5.6
Saudi Arabia,2010,Tourism coverage (inbound over outbound tourism expenditure)   (%),34.13661895270882
Saudi Arabia,2010,Inbound tourism expenditure over exports of goods   (%),3.0006848695901702
Saudi Arabia,2010,Inbound tourism expenditure over exports of services   (%),70.5056397027087
Saudi Arabia,2010,Inbound tourism expenditure over exports of goods and services   (%),2.8781905163630386
Saudi Arabia,2010,Inbound tourism expenditure over Balance of Payments current account credits   (%),2.6914027803411584
Saudi Arabia,2010,Outbound tourism expenditure over imports of goods   (%),22.658054607923283
Saudi Arabia,2010,Outbound tourism expenditure over imports of services   (%),28.75524919197871
Saudi Arabia,2010,Outbound tourism expenditure over imports of goods and services   (%),12.672556678949261
Saudi Arabia,2010,Outbound tourism expenditure over Balance of Payments current account debits   (%),10.352086717706648
Saudi Arabia,2010,Gross travel propensity   (%),1.693476323172517
Saudi Arabia,2010,Demand Carrying capacity   (%),1.2264113649932964
Saudi Arabia,2010,12_b_1 Number of sustainable tourism strategies or policies and implemented action plans with agreed monitoring and evaluation tools   (%),7.0
Qatar,2010,Guests   (000),1866.471
Qatar,2010,Guests in hotels and similar establishments   (000),1866.471
Qatar,2010,Overnights   (Night),1722.944
Qatar,2010,Overnights in hotels and similar establishments   (Night),1722.944
Qatar,2010,Total guests   (000),1866.471
Qatar,2010,Guests in hotels and similar establishments   (000),1866.471
Qatar,2010,Overnights   (Night),1722.944
Qatar,2010,Overnights in hotels and similar establishments   (Night),1722.944
Qatar,2010,Number of Establishments   (Unit),66.0
Qatar,2010,Total number of tourist establishments   (Unit),66.0
Qatar,2010,Accommodation for visitors (hotels and similar establishments)   (Unit),66.0
Qatar,2010,Food and beverage serving activities   (Unit),1027.0
Qatar,2010,Passenger transportation   (Unit),279.0
Qatar,2010,Travel agencies and other reservation services activities   (Unit),141.0
Qatar,2010,Number of rooms in accommodation services by type   (Room),7826.0
Qatar,2010,Number of beds in accommodation services (bed),13713.0
Qatar,2010,Output of accommodation for visitors (hotels and similar establishments)   (US$ Mn),781.0
Qatar,2010,Intermediate consumption of accommodation for visitors (hotels and similar establishments)   (US$ Mn),222.0
Qatar,2010,Gross value added of accommodation for visitors (hotels and similar establishments)   (US$ Mn),559.0
Qatar,2010,Compensation of employees of accommodation for visitors (hotels and similar establishments)   (US$ Mn),172.0
Qatar,2010,Output of travel agencies and other reservation service activities   (US$ Mn),213.0
