country,year,indicator,value
Bahrain,2011,Labour force participation rate (%),71.7
Bahrain,2011,Employment-to-population ratio (%),71.1
Kuwait,2011,Labour force participation rate (%),75.1
Kuwait,2011,Unemployment rate (%),3.6
Kuwait,2011,Employment-to-population ratio (%),72.4
Oman,2011,Employment-to-population ratio (%),57.7
Qatar,2011,Labour force participation rate (%),86.7
Qatar,2011,Unemployment rate (%),0.6
Qatar,2011,Employment-to-population ratio (%),86.2
Saudi Arabia,2011,Labour force participation rate (%),53.2
Saudi Arabia,2011,Unemployment rate (%),5.8
Saudi Arabia,2011,Employment-to-population ratio (%),50.1
Bahrain,2012,Labour force participation rate (%),71.7
Bahrain,2012,Employment-to-population ratio (%),71.0
Kuwait,2012,Labour force participation rate (%),71.0
Kuwait,2012,Unemployment rate (%),3.6
Kuwait,2012,Employment-to-population ratio (%),68.5
Oman,2012,Employment-to-population ratio (%),59.6
Qatar,2012,Labour force participation rate (%),86.5
Qatar,2012,Unemployment rate (%),0.5
Qatar,2012,Employment-to-population ratio (%),86.1
Saudi Arabia,2012,Labour force participation rate (%),54.1
Saudi Arabia,2012,Unemployment rate (%),5.5
Saudi Arabia,2012,Employment-to-population ratio (%),51.1
Bahrain,2013,Labour force participation rate (%),72.1
Bahrain,2013,Employment-to-population ratio (%),71.2
Kuwait,2013,Labour force participation rate (%),67.2
Kuwait,2013,Unemployment rate (%),3.6
Kuwait,2013,Employment-to-population ratio (%),64.8
Oman,2013,Employment-to-population ratio (%),61.7
Qatar,2013,Labour force participation rate (%),87.2
Qatar,2013,Unemployment rate (%),0.3
Qatar,2013,Employment-to-population ratio (%),86.9
Saudi Arabia,2013,Labour force participation rate (%),54.0
Saudi Arabia,2013,Unemployment rate (%),5.6
Saudi Arabia,2013,Employment-to-population ratio (%),51.0
Bahrain,2014,Labour force participation rate (%),71.0
Bahrain,2014,Employment-to-population ratio (%),70.3
Kuwait,2014,Labour force participation rate (%),71.7
Kuwait,2014,Unemployment rate (%),2.9
Kuwait,2014,Employment-to-population ratio (%),69.7
Oman,2014,Employment-to-population ratio (%),61.3
Qatar,2014,Labour force participation rate (%),87.6
Qatar,2014,Unemployment rate (%),0.2
Qatar,2014,Employment-to-population ratio (%),87.4
Saudi Arabia,2014,Labour force participation rate (%),54.1
Saudi Arabia,2014,Unemployment rate (%),5.7
Saudi Arabia,2014,Employment-to-population ratio (%),51.0
Bahrain,2015,Labour force participation rate (%),71.6
Bahrain,2015,Employment-to-population ratio (%),70.9
Kuwait,2015,Labour force participation rate (%),75.9
Kuwait,2015,Unemployment rate (%),1.9
Kuwait,2015,Employment-to-population ratio (%),74.5
Oman,2015,Employment-to-population ratio (%),62.9
Qatar,2015,Labour force participation rate (%),88.6
Qatar,2015,Unemployment rate (%),0.2
Qatar,2015,Employment-to-population ratio (%),88.5
Saudi Arabia,2015,Labour force participation rate (%),54.0
Saudi Arabia,2015,Unemployment rate (%),5.6
Saudi Arabia,2015,Employment-to-population ratio (%),51.0
Emirates,2016,Labour force participation rate (%),80.6
Emirates,2016,Unemployment rate (%),1.6
Bahrain,2016,Labour force participation rate (%),72.0
Bahrain,2016,Employment-to-population ratio (%),71.2
Kuwait,2016,Labour force participation rate (%),73.8
Kuwait,2016,Unemployment rate (%),2.2
Kuwait,2016,Employment-to-population ratio (%),59.6
Oman,2016,Labour force participation rate (%),65.4
Oman,2016,Employment-to-population ratio (%),64.1
Qatar,2016,Labour force participation rate (%),89.1
Qatar,2016,Unemployment rate (%),0.1
Qatar,2016,Employment-to-population ratio (%),88.9
Saudi Arabia,2016,Labour force participation rate (%),56.46720108243184
Saudi Arabia,2016,Unemployment rate (%),5.636801
Saudi Arabia,2016,Employment-to-population ratio (%),52.1
Emirates,2017,Labour force participation rate (%),80.8
Emirates,2017,Unemployment rate (%),2.45836
Kuwait,2017,Labour force participation rate (%),73.8
Kuwait,2017,Unemployment rate (%),2.2
Kuwait,2017,Employment-to-population ratio (%),60.4
Oman,2017,Employment-to-population ratio (%),63.6
Qatar,2017,Labour force participation rate (%),88.4
Qatar,2017,Unemployment rate (%),0.1
